device_ip;port;reg_type;reg_address;quantity;bit_number;value_type;scale;name;topic
10.21.105.160;502;hr;40108;1;5;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40109;1;6;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40110;1;7;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40111;1;8;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40112;1;9;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40113;1;10;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40114;1;11;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40115;1;12;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40116;1;13;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40117;1;14;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40118;1;15;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40119;1;;bool;1;reg_151;testDevice
10.21.105.160;502;hr;40120;1;;bool;1;reg_152;testDevice
10.21.105.160;502;hr;40121;1;;bool;1;reg_152;testDevice
10.21.105.160;502;hr;40122;1;;bool;1;reg_154;testDevice
10.21.105.160;502;hr;40123;1;;bool;1;reg_155;testDevice
10.21.105.160;502;hr;40124;1;;bool;1;reg_156;testDevice
10.21.105.160;502;hr;40125;1;;bool;1;reg_157;testDevice
10.21.105.160;502;hr;40126;1;;bool;1;reg_158;testDevice
10.21.105.160;502;hr;40127;1;;int16;1;reg_6;testDevice
10.21.105.160;502;hr;40128;1;;int16;1;reg_9;testDevice
10.21.105.160;502;hr;40129;1;;int16;1;reg_13;testDevice
10.21.105.160;502;hr;40130;1;;int16;1;reg_17;testDevice
10.21.105.160;502;hr;40131;1;;int16;1;reg_19;testDevice
10.21.105.160;502;hr;40132;1;;int16;1;reg_21;testDevice
10.21.105.160;502;hr;40133;1;;int16;1;reg_46;testDevice
10.21.105.160;502;hr;40134;1;;int16;1;reg_49;testDevice
10.21.105.160;502;hr;40135;1;;int16;1;reg_53;testDevice
10.21.105.160;502;hr;40136;1;;int16;1;reg_57;testDevice
10.21.105.160;502;hr;40137;1;;int16;1;reg_59;testDevice
10.21.105.160;502;hr;40138;1;;int16;1;reg_61;testDevice
10.21.105.160;502;hr;40139;1;;int16;1;reg_86;testDevice
10.21.105.160;502;hr;40140;1;;int16;1;reg_89;testDevice
10.21.105.160;502;hr;40141;1;;int16;1;reg_93;testDevice
10.21.105.160;502;hr;40142;1;;int16;1;reg_97;testDevice
10.21.105.160;502;hr;40143;1;;int16;1;reg_99;testDevice
10.21.105.160;502;hr;40144;1;;int16;1;reg_101;testDevice
10.21.105.160;502;hr;40145;1;;int16;1;reg_2;testDevice
10.21.105.160;502;hr;40146;1;;int16;1;reg_4;testDevice
10.21.105.160;502;hr;40147;1;;int16;1;reg_11;testDevice
10.21.105.160;502;hr;40148;1;;int16;1;reg_12;testDevice
10.21.105.160;502;hr;40149;1;;int16;1;reg_42;testDevice
10.21.105.160;502;hr;40150;1;;int16;1;reg_44;testDevice
10.21.105.160;502;hr;40151;1;;int16;1;reg_51;testDevice
10.21.105.160;502;hr;40152;1;;int16;1;reg_52;testDevice
10.21.105.160;502;hr;40153;1;;int16;1;reg_82;testDevice
10.21.105.160;502;hr;40154;1;;int16;1;reg_84;SimDevice
10.21.105.160;502;hr;40155;1;;int16;1;reg_91;SimDevice
10.21.105.160;502;hr;40156;1;;int16;1;reg_92;SimDevice
