device_ip;port;reg_type;reg_address;quantity;bit_number;value_type;scale;name;topic
10.21.105.158;502;hr;23582;2;;uint32;0.1;MAX_U_L1_L2;device-105-158
10.21.105.158;502;hr;23584;2;;uint32;0.1;MAX_U_L2_L3;device-105-158
10.21.105.158;502;hr;23586;2;;uint32;0.1;MAX_U_L3_L1;device-105-158
10.21.105.158;502;hr;23702;2;;uint32;0.1;MIN_U_L1_L2;device-105-158
10.21.105.158;502;hr;23704;2;;uint32;0.1;MIN_U_L2_L3;device-105-158
10.21.105.158;502;hr;23706;2;;uint32;0.1;MIN_U_L3_L1;device-105-158
10.21.105.158;502;hr;20500;2;;int32;0.01;3_PHASE_S__GENERATED_REACTIVE_ENERGY;device-105-158
10.21.105.158;502;hr;23576;2;;uint32;0.1;MAX_U_L1;device-105-158
10.21.105.158;502;hr;23578;2;;uint32;0.1;MAX_U_L2;device-105-158
10.21.105.158;502;hr;23580;2;;uint32;0.1;MAX_U_L3;device-105-158
10.21.105.158;502;hr;23696;2;;uint32;0.1;MIN_U_L1;device-105-158
10.21.105.158;502;hr;23698;2;;uint32;0.1;MIN_U_L2;device-105-158
10.21.105.158;502;hr;23700;2;;uint32;0.1;MIN_U_L3;device-105-158
